idstatefrom,idaction,idstateto,probability,reward
0,0,0,1.0,0.0
0,1,0,0.9999546000666129,2.01
0,1,1,4.53999333871223e-05,-3.03
0,2,0,0.9995006007327416,4.509999999999997
0,2,1,0.0004539993338712,-0.5300000000000002
0,2,2,4.53999333871223e-05,-5.57
0,3,0,0.9972306040633856,7.010000000000001
0,3,1,0.0022699966693561,1.9699999999999989
0,3,2,0.0004539993338712,-3.0700000000000003
0,3,3,4.539993338712231e-05,-8.110000000000001
0,4,0,0.9896639484988652,9.509999999999994
0,4,1,0.0075666555645203,4.469999999999999
0,4,2,0.0022699966693561,-0.5700000000000003
0,4,3,0.0004539993338712,-5.610000000000001
0,4,4,4.53999333871223e-05,-10.65
0,5,0,0.970747309587564,12.009999999999996
0,5,1,0.0189166389113009,6.969999999999999
0,5,2,0.0075666555645203,1.93
0,5,3,0.0022699966693561,-3.110000000000001
0,5,4,0.0004539993338712,-8.15
0,5,5,4.53999333871223e-05,-13.19
0,6,0,0.9329140317649622,14.509999999999993
0,6,1,0.0378332778226019,9.47
0,6,2,0.0189166389113009,4.43
0,6,3,0.0075666555645203,-0.6100000000000012
0,6,4,0.0022699966693561,-5.65
0,6,5,0.0004539993338712,-10.69
0,6,6,4.53999333871223e-05,-15.730000000000002
0,7,0,0.8698585687272922,17.01
0,7,1,0.0630554630376699,11.970000000000002
0,7,2,0.0378332778226019,6.930000000000003
0,7,3,0.0189166389113009,1.890000000000004
0,7,4,0.0075666555645203,-3.149999999999997
0,7,5,0.0022699966693561,-8.189999999999998
0,7,6,0.0004539993338712,-13.23
0,7,7,4.53999333871223e-05,-18.27
0,8,0,0.7797793358163352,19.51
0,8,1,0.090079232910957,14.47
0,8,2,0.0630554630376699,9.43
0,8,3,0.0378332778226019,4.390000000000004
0,8,4,0.0189166389113009,-0.6499999999999986
0,8,5,0.0075666555645203,-5.69
0,8,6,0.0022699966693561,-10.73
0,8,7,0.0004539993338712,-15.77
0,8,8,4.53999333871223e-05,-20.81
0,9,0,0.6671802946776392,22.01
0,9,1,0.1125990411386961,16.97
0,9,2,0.090079232910957,11.929999999999996
0,9,3,0.0630554630376699,6.890000000000001
0,9,4,0.0378332778226019,1.8500000000000012
0,9,5,0.0189166389113009,-3.1900000000000013
0,9,6,0.0075666555645203,-8.230000000000002
0,9,7,0.0022699966693561,-13.270000000000003
0,9,8,0.0004539993338712,-18.31
0,9,9,4.53999333871223e-05,-23.35
0,10,0,0.5420702489679767,24.51000000000001
0,10,1,0.1251100457096624,19.47
0,10,2,0.1125990411386961,14.43
0,10,3,0.090079232910957,9.39
0,10,4,0.0630554630376699,4.350000000000001
0,10,5,0.0378332778226019,-0.6899999999999977
0,10,6,0.0189166389113009,-5.73
0,10,7,0.0075666555645203,-10.77
0,10,8,0.0022699966693561,-15.81
0,10,9,0.0004539993338712,-20.85
0,10,10,4.539993338712231e-05,-25.89
1,0,0,0.9999546000666129,4.9899999999999975
1,0,1,4.53999333871223e-05,-0.05
1,1,0,0.9995006007327416,6.999999999999997
1,1,1,0.0004539993338712,1.96
1,1,2,4.53999333871223e-05,-3.0800000000000005
1,2,0,0.9972306040633856,9.499999999999998
1,2,1,0.0022699966693561,4.46
1,2,2,0.0004539993338712,-0.5800000000000001
1,2,3,4.539993338712231e-05,-5.620000000000001
1,3,0,0.9896639484988652,11.999999999999996
1,3,1,0.0075666555645203,6.959999999999999
1,3,2,0.0022699966693561,1.92
1,3,3,0.0004539993338712,-3.120000000000001
1,3,4,4.53999333871223e-05,-8.16
1,4,0,0.970747309587564,14.499999999999996
1,4,1,0.0189166389113009,9.46
1,4,2,0.0075666555645203,4.42
1,4,3,0.0022699966693561,-0.620000000000001
1,4,4,0.0004539993338712,-5.66
1,4,5,4.53999333871223e-05,-10.7
1,5,0,0.9329140317649622,17.0
1,5,1,0.0378332778226019,11.96
1,5,2,0.0189166389113009,6.92
1,5,3,0.0075666555645203,1.879999999999999
1,5,4,0.0022699966693561,-3.16
1,5,5,0.0004539993338712,-8.200000000000001
1,5,6,4.53999333871223e-05,-13.240000000000002
1,6,0,0.8698585687272922,19.5
1,6,1,0.0630554630376699,14.46
1,6,2,0.0378332778226019,9.420000000000002
1,6,3,0.0189166389113009,4.379999999999999
1,6,4,0.0075666555645203,-0.6600000000000001
1,6,5,0.0022699966693561,-5.700000000000001
1,6,6,0.0004539993338712,-10.740000000000002
1,6,7,4.53999333871223e-05,-15.78
1,7,0,0.7797793358163352,22.00000000000001
1,7,1,0.090079232910957,16.96
1,7,2,0.0630554630376699,11.920000000000002
1,7,3,0.0378332778226019,6.880000000000006
1,7,4,0.0189166389113009,1.8400000000000036
1,7,5,0.0075666555645203,-3.199999999999997
1,7,6,0.0022699966693561,-8.239999999999998
1,7,7,0.0004539993338712,-13.28
1,7,8,4.53999333871223e-05,-18.32
1,8,0,0.6671802946776392,24.500000000000004
1,8,1,0.1125990411386961,19.46
1,8,2,0.090079232910957,14.419999999999998
1,8,3,0.0630554630376699,9.380000000000004
1,8,4,0.0378332778226019,4.340000000000003
1,8,5,0.0189166389113009,-0.6999999999999993
1,8,6,0.0075666555645203,-5.74
1,8,7,0.0022699966693561,-10.78
1,8,8,0.0004539993338712,-15.82
1,8,9,4.53999333871223e-05,-20.86
1,9,0,0.5420702489679767,27.000000000000004
1,9,1,0.1251100457096624,21.96
1,9,2,0.1125990411386961,16.919999999999998
1,9,3,0.090079232910957,11.88
1,9,4,0.0630554630376699,6.84
1,9,5,0.0378332778226019,1.8000000000000007
1,9,6,0.0189166389113009,-3.240000000000002
1,9,7,0.0075666555645203,-8.280000000000003
1,9,8,0.0022699966693561,-13.32
1,9,9,0.0004539993338712,-18.36
1,9,10,4.539993338712231e-05,-23.4
1,10,0,0.4169602032583142,29.5
1,10,1,0.1251100457096624,24.460000000000004
1,10,2,0.1251100457096624,19.42
1,10,3,0.1125990411386961,14.380000000000004
1,10,4,0.090079232910957,9.34
1,10,5,0.0630554630376699,4.300000000000001
1,10,6,0.0378332778226019,-0.7399999999999984
